# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
1956.7530208; -9.3558052; -157.4760089; 0.9419437; -0.0256955; 16.2623280; -4.4217056
1958.7517471; -10.9378566; -156.2578188; 0.8855945; -0.0305860; 15.7094797; -3.6619884
1960.7504733; -12.4459422; -154.9430701; 0.8207112; -0.0343568; 15.2364408; -3.3157422
1962.7491996; -13.8591613; -153.5289954; 0.7483950; -0.0376878; 14.7950872; -3.0765587
1964.7479259; -15.1582808; -152.0171868; 0.6703907; -0.0407341; 14.3734550; -2.9082765
1966.7466522; -16.3323754; -150.4015468; 0.5852984; -0.0442116; 13.9631841; -2.8342216
1968.7453784; -17.3550541; -148.6956061; 0.4929496; -0.0492962; 13.5514149; -2.7632578
1970.7441047; -18.2111485; -146.8868739; 0.3900413; -0.0524267; 13.1375360; -2.7136281
1972.7428310; -18.8724469; -145.0040328; 0.2853864; -0.0527210; 12.7179893; -2.7087494
1974.7415572; -19.3324960; -143.0580482; 0.1782903; -0.0546059; 12.2849158; -2.6775515
1976.7402835; -19.5772992; -141.0689103; 0.0653904; -0.0581932; 11.8412740; -2.8106320
1978.7390098; -19.5890228; -139.0706455; -0.0552355; -0.0629247; 11.3569539; -1.9535972
1980.7377361; -19.3488823; -137.0834061; -0.1867113; -0.0671932; 11.0077695; -1.1368067
1982.7364623; -18.8463785; -135.1540742; -0.3241761; -0.0711012; 10.7993824; 0.2766445
1984.7351886; -18.0722125; -133.3037837; -0.4689215; -0.0731311; 10.8504623; 0.7977407
1986.7339149; -17.0423204; -131.5970950; -0.6174372; -0.0737960; 10.9964296; 1.4869995
1988.7326412; -15.7748825; -130.0588649; -0.7589882; -0.0680079; 11.2634663; 1.9933155
1990.7313674; -14.3108647; -128.7033701; -0.8850646; -0.0572987; 11.6117982; 1.9672916
1992.7300937; -12.7028832; -127.5244916; -0.9884404; -0.0496395; 11.9456273; 1.7379397
1994.7288200; -10.9798425; -126.5094688; -1.0887330; -0.0505226; 12.2329614; 1.6851167
1996.7275462; -9.1691952; -125.6762236; -1.1907935; -0.0520481; 12.5052596; 1.7749042
1998.7262725; -7.2766628; -125.0334789; -1.2958689; -0.0510671; 12.7857973; 1.9326908
2000.7249988; -5.3274638; -124.5853350; -1.3916494; -0.0447630; 13.0844355; 2.2912518
2002.7237251; -3.3479453; -124.3131579; -1.4743702; -0.0380793; 13.4298780; 2.5405730
2004.7224513; -1.3477254; -124.1927942; -1.5451757; -0.0321948; 13.8028056; 2.9859873
2006.7211776; 0.6520565; -124.2006960; -1.6017293; -0.0244215; 14.2286256; 3.4063574
2008.7199039; 2.6489912; -124.3076252; -1.6459387; -0.0211516; 14.6993380; 3.7318535
2010.7186302; 4.6343544; -124.4982376; -1.6864904; -0.0192203; 15.1983040; 4.2052136
2012.7173564; 6.6162756; -124.7647721; -1.7212353; -0.0155342; 15.7416196; 4.5205708
2014.7160827; 8.5884383; -125.0927516; -1.7488747; -0.0122714; 16.3055007; 4.8088633
2016.7148090; 10.5494836; -125.4685043; -1.7703249; -0.0092562; 16.8846841; 5.1134680
2018.7135352; 12.5063783; -125.8816277; -1.7866488; -0.0070595; 17.4795138; 5.2845300
2020.7122615; 14.4561796; -126.3221918; -1.7988348; -0.0053771; 18.0736842; 5.4488310
